brand,region,month,trx,nrx,sales_usd
Cardiflow,Midwest,2025-01,8104,2683,3569394.73
Cardiflow,Midwest,2025-02,8292,2827,3623346.55
Cardiflow,Midwest,2025-03,8826,2845,3618912.38
Cardiflow,Midwest,2025-04,8705,2450,3973440.17
Cardiflow,Midwest,2025-05,9004,3120,3830082.86
Cardiflow,Midwest,2025-06,8480,2970,3878306.56
Cardiflow,Midwest,2025-07,8346,2661,3450742.38
Cardiflow,Midwest,2025-08,8536,2913,3554557.48
Cardiflow,Midwest,2025-09,8293,2686,3510035.73
Cardiflow,Midwest,2025-10,8491,2664,3571228.93
Cardiflow,Midwest,2025-11,8443,2857,3546545.92
Cardiflow,Midwest,2025-12,8547,3073,3781995.39
Cardiflow,Midwest,2026-01,8897,2859,3701598.72
Cardiflow,Midwest,2026-02,9066,2783,3983740.34
Cardiflow,Midwest,2026-03,9296,2766,3844357.59
Cardiflow,Midwest,2026-04,9653,2879,4394730.97
Cardiflow,Midwest,2026-05,9790,2796,4130403.27
Cardiflow,Midwest,2026-06,9578,2845,3990344.14
Cardiflow,Northeast,2025-01,13549,3887,5840920.94
Cardiflow,Northeast,2025-02,13261,3945,5772085.82
Cardiflow,Northeast,2025-03,13573,4016,6005974.07
Cardiflow,Northeast,2025-04,14178,4219,6230710.44
Cardiflow,Northeast,2025-05,14393,4037,6481037.82
Cardiflow,Northeast,2025-06,14128,4340,5902310.72
Cardiflow,Northeast,2025-07,14076,4320,5836434.52
Cardiflow,Northeast,2025-08,13109,4559,5770402.23
Cardiflow,Northeast,2025-09,13502,4568,5897827.58
Cardiflow,Northeast,2025-10,13616,4224,5958389.26
Cardiflow,Northeast,2025-11,13675,4505,6195942.09
Cardiflow,Northeast,2025-12,13809,4644,5693329.45
Cardiflow,Northeast,2026-01,13947,4228,5773912.94
Cardiflow,Northeast,2026-02,14382,4143,6096510.82
Cardiflow,Northeast,2026-03,15084,4663,6463630.49
Cardiflow,Northeast,2026-04,14881,4484,6798127.85
Cardiflow,Northeast,2026-05,15269,5019,6390945.8
Cardiflow,Northeast,2026-06,15160,4442,6503227.22
Cardiflow,Southeast,2025-01,8986,2916,3991857.18
Cardiflow,Southeast,2025-02,9396,3214,3959966.78
Cardiflow,Southeast,2025-03,9180,2802,3886693.06
Cardiflow,Southeast,2025-04,9415,3346,4272700.06
Cardiflow,Southeast,2025-05,9489,3154,4078197.56
Cardiflow,Southeast,2025-06,9738,3084,4121550.15
Cardiflow,Southeast,2025-07,9202,2989,3893707.41
Cardiflow,Southeast,2025-08,9229,3247,3968193.36
Cardiflow,Southeast,2025-09,8929,3212,3888368.01
Cardiflow,Southeast,2025-10,8866,2515,3683667.46
Cardiflow,Southeast,2025-11,9297,3192,4008011.06
Cardiflow,Southeast,2025-12,9229,2865,4243550.21
Cardiflow,Southeast,2026-01,9814,3510,4446124.6
Cardiflow,Southeast,2026-02,9825,3317,4363140.22
Cardiflow,Southeast,2026-03,10407,3136,4600394.47
Cardiflow,Southeast,2026-04,10288,3238,4451475.47
Cardiflow,Southeast,2026-05,10837,3793,4585887.36
Cardiflow,Southeast,2026-06,10447,3074,4759981.15
Cardiflow,Southwest,2025-01,14133,4491,6348981.32
Cardiflow,Southwest,2025-02,14802,4370,6140558.5
Cardiflow,Southwest,2025-03,14844,4659,6432665.71
Cardiflow,Southwest,2025-04,15322,5115,7035988.97
Cardiflow,Southwest,2025-05,14767,4610,6304994.08
Cardiflow,Southwest,2025-06,15303,4589,6419768.35
Cardiflow,Southwest,2025-07,14678,4605,6222404.28
Cardiflow,Southwest,2025-08,14246,5041,6156502.03
Cardiflow,Southwest,2025-09,14609,4733,6026642.25
Cardiflow,Southwest,2025-10,14735,5111,6755257.99
Cardiflow,Southwest,2025-11,14887,5179,6227463.68
Cardiflow,Southwest,2025-12,14892,4424,6404334.6
Cardiflow,Southwest,2026-01,12363,3836,5677898.66
Cardiflow,Southwest,2026-02,10661,3653,4613552.21
Cardiflow,Southwest,2026-03,9101,3245,4184377.09
Cardiflow,Southwest,2026-04,7670,2588,3204064.58
Cardiflow,Southwest,2026-05,6233,2228,2736031.54
Cardiflow,Southwest,2026-06,5163,1754,2131587.22
Cardiflow,West,2025-01,10254,3570,4284855.76
Cardiflow,West,2025-02,10854,3108,4550987.21
Cardiflow,West,2025-03,10867,3629,4583268.04
Cardiflow,West,2025-04,10681,3751,4510701.31
Cardiflow,West,2025-05,10978,3617,4731092.56
Cardiflow,West,2025-06,10833,3486,4947813.64
